t,value,price
2023-05-05,0.216740840572793,29524.609260071305
2023-05-06,0.21143328324422,28917.360787434176
2023-05-07,0.213714265594623,28441.368038323788
2023-05-08,0.227158588634368,27716.36726269018
2023-05-09,0.228141480937922,27652.946629825143
2023-05-10,0.216125004844885,27611.85812654764
2023-05-11,0.230682931752038,27002.493000172744
2023-05-12,0.22347153382653,26817.235476950114
2023-05-13,0.224805869519557,26803.49366293416
2023-05-14,0.225829186316865,26916.442275472484
2023-05-15,0.228037246426951,27197.153592811548
2023-05-16,0.230604156751313,27028.621511356065
2023-05-17,0.227461320406663,27402.01958000473
2023-05-18,0.225550499914499,26834.61274945016
2023-05-19,0.223423677100277,26876.99632127679
2023-05-20,0.225383883568876,27123.23025846794
2023-05-21,0.227658523480651,26754.833172103663
2023-05-22,0.227394549054969,26854.945819255605
2023-05-23,0.229561620757154,27222.424868350903
2023-05-24,0.235658992689439,26342.006519090177
2023-05-25,0.23421200655669,26477.09720314349
2023-05-26,0.227758172516934,26719.11654816123
2023-05-27,0.227612856411844,26868.22841128472
2023-05-28,0.232082689603291,28107.05501166292
2023-05-29,0.232854946899801,27753.18340888466
2023-05-30,0.234491577934517,27705.13798975791
2023-05-31,0.231179735117965,27228.56880459528
2023-06-01,0.235238736293434,26816.71302774029
2023-06-02,0.233469424788484,27247.55068467457
2023-06-03,0.234070257558091,27066.7495139147
2023-06-04,0.228684920347628,27100.67253528046
2023-06-05,0.248029614234365,25770.957102030523
2023-06-06,0.230542052577737,27208.730403482336
2023-06-07,0.226719500361445,26354.280004989407
2023-06-08,0.229056114735859,26518.65202464849
2023-06-09,0.228509292832766,26488.60896191271
2023-06-10,0.23133311727157,25862.006390844374
2023-06-11,0.228501235005714,25917.197734457382
2023-06-12,0.231731917758984,25898.42298195509
2023-06-13,0.235623302888264,25897.153585558783
2023-06-14,0.237718595830569,25122.962560064232
2023-06-15,0.238110186263661,25565.913416730844
2023-06-16,0.242448587935208,26322.863966129666
2023-06-17,0.237258568833784,26517.594549064645
2023-06-18,0.239113706075141,26325.890181020062
2023-06-19,0.242421890954194,26783.247196944085
2023-06-20,0.258842350418643,28363.135028314235
2023-06-21,0.24758914266134,30038.519709239063
2023-06-22,0.251331143707422,29915.44030512156
2023-06-23,0.250018639708341,30622.93364729128
2023-06-24,0.247894024261969,30542.42425169211
2023-06-25,0.249007878925414,30464.376844249182
