貨幣,儲蓄,一星期,兩星期,一個月,兩個月,三個月,六個月,一年
港幣,0.625%,0.625%,0.625%,0.625%,0.625%,0.625%,0.625%,0.625%
澳元,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%
加元,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%
英鎊,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%
歐羅,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%
瑞士法郎,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%
美元,0.250%,0.250%,0.250%,0.250%,0.250%,0.250%,0.300%,0.400%
紐西蘭元,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%
日元,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%
新加坡元,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,0.010%,-
人民幣,0.350%,0.350%,0.350%,0.400%,0.400%,0.500%,0.550%,0.600%
