"存款額：港幣50,000或以上"


1個月,2.00%,C4112,2.00%,D4112
2個月,2.80%,C4122,2.80%,D4122
3個月,3.05%,C4132,3.05%,D4132
4個月,3.05%,C4142,3.05%,D4142
6個月,3.10%,C4162,3.10%,D4162
12個月,3.10%,C41Y2,3.10%,D41Y2
"存款額：澳元5,000或以上"


1個月,1.60%,C3411,1.60%,D3411
3個月,2.30%,C3431,2.30%,D3431
6個月,2.50%,C3461,2.50%,D3461
12個月,2.70%,C34Y1,2.70%,D34Y1
"存款額：美元 6,000或以上"


1個月,3.00%,C4212,3.00%,D4212
2個月,3.50%,C4222,3.50%,D4222
3個月,3.95%,C4232,3.95%,D4232
4個月,3.95%,C4242,3.95%,D4242
6個月,3.95%,C4262,3.95%,D4262
12個月,3.85%,C42Y2,3.85%,D42Y2
"存款額：人民幣40,000或以上"


1個月,1.30%,C4311,1.30%,D4311
3個月,1.50%,C4331,1.50%,D4331
6個月,1.60%,C4361,1.60%,D4361
12個月,1.80%,C43Y1,1.80%,D43Y1
"存款額：紐元 5,000或以上"


1個月,1.50%,C3511,1.50%,D3511
3個月,2.00%,C3531,2.00%,D3531
6個月,2.20%,C3561,2.20%,D3561
12個月,2.50%,C35Y1,2.50%,D35Y1
"存款額：英鎊 5,000或以上"


1個月,2.00%,C4711,2.00%,D4711
3個月,3.10%,C4731,3.10%,D4731
6個月,3.20%,C4761,3.20%,D4761
12個月,3.50%,C47Y1,3.50%,D47Y1
"存款額：加元 5,000或以上"


1個月,2.20%,C3611,2.20%,D3611
3個月,2.80%,C3631,2.80%,D3631
6個月,3.00%,C3661,3.00%,D3661
12個月,3.20%,C36Y1,3.20%,D36Y1
