存款期,"港元10,000
至
港元29,999","港元30,000
至
港元99,999","港元100,000
至
港元499,999","港元500,000
至
港元999,999","港元1,000,000
至
港元1,999,999","港元2,000,000
至
港元4,999,999","港元5,000,000
或以上"

7日,0.625%,0.625%,0.625%,0.625%,0.625%,0.625%,0.625%
14日,0.625%,0.625%,0.625%,0.625%,0.625%,0.625%,0.625%
1個月,0.635%,0.635%,0.635%,0.635%,0.635%,0.635%,0.635%
2個月,0.635%,0.635%,0.635%,0.635%,0.635%,0.635%,0.635%
3個月,0.635%,0.635%,0.635%,0.635%,0.635%,0.635%,0.635%
6個月,0.650%,0.650%,0.650%,0.650%,0.650%,0.650%,0.650%
9個月,0.650%,0.650%,0.650%,0.650%,0.650%,0.650%,0.650%
12個月,0.800%,0.800%,0.800%,0.800%,0.800%,0.800%,0.800%
"請注意:

定期存款年利率只適用於相關推廣網頁內所列明之日期。利率只供參考而並非保證。本行保留隨時更改利率之絕對權利。"
