DateTime,close
2023-01-28 09:10:00.129646,6.283
2023-01-28 09:20:00.097886,6.324
2023-01-28 09:30:00.103219,6.301
2023-01-28 09:40:00.077742,6.307
2023-01-28 09:50:00.134096,6.325
2023-01-28 10:00:00.097230,6.295
2023-01-28 10:10:00.088805,6.324
2023-01-28 10:20:00.071307,6.3
2023-01-28 10:30:00.093462,6.279
2023-01-28 10:40:00.069336,6.281
2023-01-28 10:50:00.082743,6.277
2023-01-28 11:00:00.088867,6.267
2023-01-28 11:10:00.093020,6.3
2023-01-28 11:20:00.075985,6.294
2023-01-28 11:30:00.074878,6.284
2023-01-28 11:40:00.112412,6.286
2023-01-28 11:50:00.094185,6.277
2023-01-28 12:00:00.090662,6.243
2023-01-28 12:10:00.104644,6.251
2023-01-28 12:20:00.138056,6.23
2023-01-28 12:30:00.127291,6.228
2023-01-28 12:40:00.073109,6.242
2023-01-28 12:50:00.087903,6.239
2023-01-28 13:00:00.088103,6.253
2023-01-28 13:10:00.099267,6.247
2023-01-28 13:20:00.103346,6.226
2023-01-28 13:30:00.106634,6.223
2023-01-28 13:40:00.086718,6.217
2023-01-28 13:50:00.170152,6.217
2023-01-28 14:00:01.039302,6.221
2023-01-28 14:10:00.069599,6.247
2023-01-28 14:20:00.116917,6.206
2023-01-28 14:30:00.107848,6.185
2023-01-28 14:40:00.108523,6.206
2023-01-28 14:50:00.109271,6.219
2023-01-28 15:00:00.091710,6.231
2023-01-28 15:10:00.096532,6.22
2023-01-28 15:20:00.130471,6.19
2023-01-28 15:30:00.105181,6.142
2023-01-28 15:40:00.120540,6.164
2023-01-28 15:50:00.165672,6.16
2023-01-28 16:00:00.147702,6.176
2023-01-28 16:10:00.095608,6.18
2023-01-28 16:20:00.094200,6.156
2023-01-28 16:30:00.096883,6.164
2023-01-28 16:40:00.086415,6.151
2023-01-28 16:50:00.075840,6.151
2023-01-28 17:00:00.075806,6.135
2023-01-28 17:10:00.098147,6.138
2023-01-28 17:20:00.088236,6.129
2023-01-28 17:30:00.072152,6.145
2023-01-28 17:40:00.073269,6.165
2023-01-28 17:50:00.089042,6.176
2023-01-28 18:00:00.102751,6.231
2023-01-28 18:10:00.094757,6.24
2023-01-28 18:20:00.084187,6.217
2023-01-28 18:30:00.104725,6.242
2023-01-28 18:40:00.088882,6.259
2023-01-28 18:50:00.077528,6.235
2023-01-28 19:00:00.081111,6.221
2023-01-28 19:10:00.084964,6.24
2023-01-28 19:20:00.091341,6.25
2023-01-28 19:30:00.077678,6.283
2023-01-28 19:40:00.112923,6.314
2023-01-28 19:50:00.086433,6.275
2023-01-28 20:00:00.066967,6.268
2023-01-28 20:10:00.100329,6.257
2023-01-28 20:20:00.076724,6.23
2023-01-28 20:30:00.082635,6.219
2023-01-28 20:40:00.074025,6.214
2023-01-28 20:50:00.085445,6.227
2023-01-28 21:00:00.099264,6.238
2023-01-28 21:10:00.097141,6.197
2023-01-28 21:20:00.131815,6.163
2023-01-28 21:30:00.130897,6.157
2023-01-28 21:40:00.078301,6.168
2023-01-28 21:50:00.074572,6.197
2023-01-28 22:00:00.100055,6.214
2023-01-28 22:10:00.100909,6.207
2023-01-28 22:20:00.111142,6.161
2023-01-28 22:30:00.096130,6.174
2023-01-28 22:40:00.102512,6.144
2023-01-28 22:50:00.094072,6.117
2023-01-28 23:00:00.088216,6.047
2023-01-28 23:10:00.144020,6.098
2023-01-28 23:20:00.088086,6.159
2023-01-28 23:30:00.109317,6.115
2023-01-28 23:40:00.109635,6.117
2023-01-28 23:50:00.104256,6.125
2023-01-29 00:00:00.093346,6.075
2023-01-29 00:10:00.104890,6.096
2023-01-29 00:20:00.122907,6.085
2023-01-29 00:30:00.080175,6.09
2023-01-29 00:40:00.095402,6.122
2023-01-29 00:50:00.093412,6.102
2023-01-29 01:00:00.093718,6.103
2023-01-29 01:10:00.088552,6.087
2023-01-29 01:20:00.077903,6.027
2023-01-29 01:30:00.096393,6.051
2023-01-29 01:40:00.098305,6.023
2023-01-29 01:50:00.086044,6.011
2023-01-29 02:00:00.106095,6.0
2023-01-29 02:10:00.100431,6.011
2023-01-29 02:20:00.095667,6.002
2023-01-29 02:30:00.127434,6.013
2023-01-29 02:40:00.092426,5.978
2023-01-29 02:50:00.082347,5.968
2023-01-29 03:00:00.089537,5.96
2023-01-29 03:10:00.103228,6.002
2023-01-29 03:20:00.067767,6.018
2023-01-29 03:30:00.097169,6.034
2023-01-29 03:40:00.092832,6.041
2023-01-29 03:50:00.064424,6.064
2023-01-29 04:00:00.115513,6.057
2023-01-29 04:10:00.076138,6.032
2023-01-29 04:20:00.089245,6.032
2023-01-29 04:30:00.093636,6.003
2023-01-29 04:40:00.090060,5.985
2023-01-29 04:50:00.070459,6.007
2023-01-29 05:00:00.077644,5.974
2023-01-29 05:10:00.072805,6.013
2023-01-29 05:20:00.098364,6.023
2023-01-29 05:30:00.102364,6.003
2023-01-29 05:40:00.078077,6.013
2023-01-29 05:50:00.069041,6.001
2023-01-29 06:00:00.092074,6.01
2023-01-29 06:10:00.083445,5.991
2023-01-29 06:20:00.082024,6.012
2023-01-29 06:30:00.774491,5.979
2023-01-29 06:40:00.066852,5.938
2023-01-29 06:50:00.084036,5.986
2023-01-29 07:00:00.084830,5.956
2023-01-29 07:10:00.104013,5.966
2023-01-29 07:20:00.100278,5.992
2023-01-29 07:30:00.077743,6.004
2023-01-29 07:40:00.064981,6.02
2023-01-29 07:50:00.097868,6.03
2023-01-29 08:00:00.101082,6.042
2023-01-29 08:10:00.072030,6.006
2023-01-29 08:20:00.096504,5.945
2023-01-29 08:30:00.093851,5.987
2023-01-29 08:40:00.089494,6.051
2023-01-29 08:50:00.089520,6.061
2023-01-29 09:00:00.081272,6.048
2023-01-29 09:10:00.077445,6.093
2023-01-29 09:20:00.120648,6.137
2023-01-29 09:30:00.078655,6.119
2023-01-29 09:40:00.092818,6.096
2023-01-29 09:50:00.242602,6.096
2023-01-29 10:00:00.071216,6.071
2023-01-29 10:10:00.074026,6.004
2023-01-29 10:20:00.094157,6.007
2023-01-29 10:30:00.102451,6.004
2023-01-29 10:40:00.101521,6.022
2023-01-29 10:50:00.072938,6.033
2023-01-29 11:00:00.094167,6.01
2023-01-29 11:10:00.101617,6.007
2023-01-29 11:20:00.091123,6.018
2023-01-29 11:30:00.116623,6.007
2023-01-29 11:40:00.074004,6.018
2023-01-29 11:50:00.097062,6.03
2023-01-29 12:00:00.076482,6.044
2023-01-29 12:10:00.092810,6.027
2023-01-29 12:20:00.076912,6.007
2023-01-29 12:30:00.063443,6.0
2023-01-29 12:40:00.110921,6.003
2023-01-29 12:50:00.083780,6.019
2023-01-29 13:00:00.071824,6.008
2023-01-29 13:10:00.083860,6.0
2023-01-29 13:20:00.072044,6.0
2023-01-29 13:30:00.071115,5.998
2023-01-29 13:40:00.085264,6.009
2023-01-29 13:50:00.102830,6.004
2023-01-29 14:00:00.088170,6.002
2023-01-29 14:10:00.098563,6.003
2023-01-29 14:20:00.144904,6.006
2023-01-29 14:30:00.394362,6.005
2023-01-29 14:40:00.093367,6.018
2023-01-29 14:50:00.100132,5.998
2023-01-29 15:00:00.095378,5.998
2023-01-29 15:10:00.094215,6.006
2023-01-29 15:20:00.172250,6.003
2023-01-29 15:30:00.118787,5.997
2023-01-29 15:40:00.118846,6.024
2023-01-29 15:50:00.104096,6.039
2023-01-29 16:00:00.095543,6.02
2023-01-29 16:10:00.115156,6.027
2023-01-29 16:20:00.090748,6.027
2023-01-29 16:30:00.111417,6.026
2023-01-29 16:40:00.135346,6.04
2023-01-29 16:50:00.120263,6.042
2023-01-29 17:00:00.101828,6.055
2023-01-29 17:10:00.083307,6.063
2023-01-29 17:20:00.133708,6.088
2023-01-29 17:30:00.117261,6.091
2023-01-29 17:40:00.071812,6.114
2023-01-29 17:50:00.107018,6.1
2023-01-29 18:00:00.104521,6.107
2023-01-29 18:10:00.221346,6.11
2023-01-29 18:20:00.096738,6.114
2023-01-29 18:30:00.132827,6.122
2023-01-29 18:40:00.100506,6.122
2023-01-29 18:50:00.083668,6.148
2023-01-29 19:00:00.101162,6.157
2023-01-29 19:10:00.133253,6.085
2023-01-29 19:20:00.081317,6.1
2023-01-29 19:30:00.125851,6.1
